job_id, job_name
1,Marketing Assistant
2,VP Sales
3,Biostatistician IV
4,Account Representative II
5,VP Marketing
6,Environmental Specialist
7,Software Consultant
8,Office Assistant III
9,Information Systems Manager
10,Desktop Support Technician
11,Financial Advisor
12,Computer Systems Analyst I
13,Automation Specialist IV
14,Help Desk Technician
15,Office Assistant II
16,VP Quality Control
17,Office Assistant IV
18,Financial Analyst
19,Electrical Engineer
20,Chemical Engineer
21,Social Worker
22,VP Product Management
23,Administrative Officer
24,Paralegal
25,Actuary
26,Database Administrator I
27,Nuclear Power Engineer
28,Database Administrator II
29,GIS Technical Architect
30,Human Resources Assistant IV
31,Marketing Manager
32,Structural Engineer
33,General Manager
34,Chief Design Engineer
35,Senior Quality Engineer
36,Pharmacist
37,Accounting Assistant IV
38,Web Developer I
39,Automation Specialist I
40,Assistant Manager
41,Director of Sales
42,Systems Administrator II
43,Geological Engineer
44,Staff Accountant IV
45,Senior Cost Accountant
46,Geologist IV
47,Graphic Designer
48,Account Executive
49,Staff Scientist
50,VP Accounting
